"GL_CODE","GL_DESC"
"6801400A5","DOTATION AUX AMORT FRAIS EXCEPTIONNEL A ETALER"
"6802000A4","DOTATION AUX AMORT DES IMMOB INCORP"
"6802100A5","DOTATION AUX AMORT IMMOBILISATION INCORP EN COURS"
"6802200A5","DOTATION AUX AMORT FONDS DE COMMERCE"
"7914000A4","REP PROV DEPREC CPTE D AUTRES TIERS"
"7915000A4","REP PROVS PR DEPREC CPTES DE TRESO"
"7920000A3","RENTRÉES SUR CRÉANCES ABANDONNÉES"
"8500000A2","RESULTAT NET AVANT IMPOT SUR LE RESULTAT"
"8510000A3","RESULTAT AVANT IMPOTS SUR LE BENEFICE"
"8520000A3","RESULTAT INTERMEDIAIRE"
"8600000A2","IMPOT SUR LE RESULTAT "
"8610000A3","IMPÔT DÛ AU TITRE DE L'EXERCICE"
"8620000A3","RAPPELS SUR EXERCICES ANTERIEURS (SOLDE DEBITEUR)"
"8630000A3","DEGREVEMENT SUR EXERCICES ANTERIEURS (SOLDE CREDITEUR)"
"8700000A2","RESULTAT NET DE L EXERCICE"
"8710000A3","RESULTAT NET DE L EXERCICE"
"8750000A3","RESULTAT NET EN INSTANCE AFFECT"
"9000000A2","COMPTES DE HORS BILAN"
"9010000A3","ACCORDS DE REFINANCEMENT DONNES"
"9020000A3","CAUT AVALS PAR ACTES SEP  ET ENDOS"
"9030000A3","CONF DES CREDT DOC OUV PAR UN CORR"
"9040000A3","ACCEPTATION A PAYER"
"9050000A3","AUTRES GTIES IRREVOC OU INCONDITIO"
"9060000A3","CGTIE EN FAVEUR DES  CORRS"
"9100000A2","ENGAGEMENTS RECUS DES CORRESPONDANT"
"9110000A3","ACCORDS DE FINANCEMENT RECUS"
"9120000A3","CGTIE SUR PRET AUX INST FINANC"
"9130000A3","CONTREGARANTIE / CREDIT PAR CAISSE"
"9140000A3","CGTIE / ACCEPT ET OUV CREDITS CONF"
"9150000A3","CGTIE / AUTRES ENGTS PAR SIGNATURE"
"9160000A3","CGTIES SUR TITRES EN PORTEFEUILLE"
"9180000A3","VALS GÉRÉES POUR CPTE DES CORRS"
"9190000A3","AUTRES ENGAGEMENTS"
"9200000A2","ENGT DONNES/ ORDRE DE LA CLIENTELE"
"9210000A3","ACCEPTATION A PAYER"
"9211000A4","ENGAGEMENTS SAINS"
"9212000A4","OUVERTURES DE CREDITS DOCUMENTAIRES CONFIRMES"
"9214000A4","CAUTIONS ET AVALS"
"9215000A4","GARANTIES DE REMBOURSEMENT DE CREDIT"
"9219000A4","AUTRES GARANTIES"
"9220000A3","OUV DE CREDITS DOCRES CONF"
"9221000A4","ACCEPTATIONS A PAYER"
"9222000A4","OUVERTURES DE CREDITS DOCUMENTAIRES CONFIRMES"
"9224000A4","CAUTIONS ET AVALS"
"9225000A4","GARANTIES DE REMBOURSEMENT DE CREDIT"
"9229000A4","AUTRES GARANTIES"
"9300000A2","ENGAGEMENTS RECUS DE LA CLIENTELE"
"9310000A3","HYPOTHEQUES"
"9311000A4","HYPOTHÈQUES FERMES DE PREMIER RANG OU DE DEUXIÈME RANG SUR DES IMMEUBLES"
"9312000A4","AUTRES HYPOTHEQUES"
"9320000A3","NANTIST DE PRET SUB  ET DE DEPOTS"
"9321000A4","GARANTIE DE CREDITS PAR CAISSE"
"9322000A4","GTIE ACCEPT SOUSCRITE OUV CRED CONF"
"9323000A4","GTIE D AUTRES ENGT PAR SIGNATURE"
"9324000A4","GARANTIE D ENGAGEMENT MULTIPLES"
"9330000A3","GAGES"
"9340000A3","AVALS ET CAUTIONS"
"9380000A3","VALS GÉRÉES POUR CPTE DE LA CLTLE"
"9390000A3","AUTRES GARANTIES"
"9400000A2","ENGTS  CRE BAIL ET  OPS ASSIMILEES"
"9410000A3","REDEV  CREDIT BAIL RESTANT A COURIR"
"9500000A2","VAL AFFECT GTIE OPS MM"
"9510000A3","EFFET PUBLIC AFFECT GTIE  OPS DU MM"
"9511000A4","TITRES D'INVESTISSEMENT PRIVES AFFECTES EN GARANTIE DES OPERATIONS DU MARCHE MONETAIRE"
"9512000A4","AUTRES TITRES ET VALEURS PRIVES AFFECTES EN GARANTIE DES OPERATIONS DU MARCHE MONETAIRE"
"9520000A3","EFFET PRIVE DEP GTIE  DES OPS DU MM"
"9521000A4","TITRES D'INVESTISSEMENT PUBLICS AFFECTES EN GARANTIE DES OPERATIONS DU MARCHE MONETAIRE"
"9522000A4","AUTRES TITRES ET VALEURS PUBLICS AFFECTES EN GARANTIE DES OPERATIONS DU MARCHE MONETAIRE"
"9530000A3","TITRE À REC, INTERVENT À L ÉMISSION"
"9540000A3","TITRES À RECEVOIR MARCHÉ GRIS"
"9550000A3","TITRES À LIVRER, MARCHÉ GRIS"
"9600000A2","ENGT RECU DE L ETAT ET  ORG PUBLICS"
"9610000A3","GARANTIE RECU DE L ETAT"
"9620000A3","GARANTIE RECU DES ORGANISMES PUBLIC"
"9700000A2","OPERATIONS EN DEVISES"
"9710000A3","OPERATIONS DE CHANGE AU COMPTANT"
"9711000A4","FCFA ACHETES CTANT NON ENCORE RECU"
"9712000A4","DEV ACHETES CTANT NON ENCORE RECU"
"9713000A4","FCFA VENDUS CTANT NON ENCORE LIVRES"
"9714000A4","DEV VENDUES CTANT NON ENCORE LIVRES"
"9720000A3","OPERATION DE CHANGE A TERME"
"9721000A4","FCFA ACHETES A TERME NON ENC RECUS"
"9723000A4","FCFA VENDUS A TERM NON ENC LIVRES"
"9724000A4","DEVISE VENDU A TERM NON ENC LIVRES"
"9730000A3","OPS DE PRETS ET D EMPRUNTS EN DEV"
"9731000A4","DEVISES EMPRUNTEES NON ENC RECUES"
"9732000A4","DEVISES PRETES NON ENC LIVREES"
"9740000A3","CPARTIE OPS DE PRETS ET EMPRUNT DEV"
"9742000A4","PRETS EN DEVISES"
"9760000A3","REPORT/ DEPORT"
"9761000A4","REPORT/ DEPORT A RECEVOIR"
"9762000A4","REPORT/ DEPORT A PAYER"
"9780000A3","CT VAL DE POS. DE CHANGE HORS BILAN"
"9790000A3","CPT D AJUST. / DEVISES HORS BILAN"
"9800000A2","ENGAGEMENT PAR SIGNATURE DOUTEUX"
"9810000A3","ENGT PAR SIG DOUT SUR DES CORRS"
"9811000A4","ENGAGEMENTS DONNES"
"6802300A5","DOTATION AUX AMORT BREVETS, LOGICIELS, LICENCES"
"6802400A5","DOTATION AUX AMORT ETUDES ET RECHERCHES IMMOB"
"6802500A5","DOTATION AUX AMORT AUTRE IMMOB INCORP"
"6820000A3","DOT AMORTS IMMOB CORP"
"6821000A4","DOTATION AUX AMORT DES IMM D EXPLO"
"6822000A4","DOTAT. AUX AMORT IMM EN LOC SIMPLE"
"6823000A4","DOTATION AUX AMORT IMMEUBLES DONNES EN CREDIT BAIL"
"6823100A5","DOTATION AUX AMORT IMMEUBLES DONNES EN CREDIT BAIL"
"6823200A5","DOTATION AUX AMORT IMMEUBLES AFFECTES AU CRED BAIL N LOUES"
"6824000A4","DOTAT. AUX AMORT IMM ACQUIS PAR ADJ"
"6825000A4","DOTAT  AUX AMORT MAT ET MOB D EXPL"
"6900000A2","DOT. AUX PROV. ET PERTES SUR CR IRR"
"6910000A3","DOTATIONS AUX PROVISIONS"
"6911000A4","PROVISION POUR RISQUES ET CHARGES"
"6912000A4","PROVISION PR DEPREC VALEURS IMMOBIL"
"6913000A4","PROV. PR DEPREC CPTE DE CLIENTELE"
"6914000A4","PROV. PR DEPR. AUTRES CPTE DE TIERS"
"6915000A4","PROV. PR DEPR. COMPTE DE TRESORERIE"
"6920000A3","PERTES SUR CRÉANCES IRRECOUVRABLES"
"6921000A4","PERTES SUR CREAN IRREC COUV / PROV"
"6922000A4","PERTES CREAN IRREC N COUV PAR PROVS"
"7000000A2","COMPTES DE PRODUITS"
"7010000A3","INTS SUR OPS DU MARCHÉ MONÉTAIRE"
"7011000A4","INT. SUR PLACEMENTS INTERBANCAIRES"
"7012000A4","INT. SUR PLACEMENTS A LA BEAC"
"7020000A3","INTS SUR AUT VALS RECUES  PENSION"
"7030000A3","INTS SUR PRETS ET CPTES  A TERME"
"7050000A3","INTERETS SUR COMPTES A VUE"
"7060000A3","COMM SUR OPS TRES INTERB"
"7061000A4","COMMISSIONS SUR OPS DU MARCHE MONET"
"7062000A4","COMMISSIONS SUR OPS DE REFINANCEMT."
"7063000A4","COMMISSIONS SUR PRET ET CPT A TERME"
"7064000A4","COMM. SUR PRET AU JOUR LE JOUR"
"7100000A2","PROD OPS CLTLE ET CR BAIL"
"7110000A3","INT. SUR LES CREDITS A LONG TERME"
"7120000A3","INT. SUR LES CREDITS A MOYEN TERME"
"7130000A3","INT. SUR LES CREDITS A COURT TERME"
"7140000A3","INT. SUR LES CPTES DR DE LA CLTELE"
"7151000A4","LOYERS"
"7152000A4","REPRISE DE PROV. POUR DEPREC. IMMOB"
"7153000A4","REPRISE DE PROV. PR PERTES LATENTES"
"7154000A4","REP DE PROV RISQ  NON PERCEP DE LOY"
"7155000A4","PLUS-VALUE DE CESSION SUR IMMOBIL."
"7159000A4","AUTRES PROD. DES OPS DE CREDIT BAIL"
"7160000A3","PROD DES OPS DE LOCATION SIMPLE"
"7170000A3","COMM./ OPS AVEC LA CLIENTELE"
"7171000A4","COMM./ CREDIT A LONG TERME"
"7172000A4","COMMISSION SUR CREDIT A MOYEN TERME"
"7173000A4","COMM./ CREDIT A COURT TERME"
"7174000A4","COMM./ CPTES DEBITEURS CLIENTELE"
"7190000A3","AUTRES PRODUITS"
"7200000A2","COMM DE TENUE DE COMPTE"
"7200000A3","COMM DE TENUE DE COMPTE"
"7201000A4"," COMMISSIONS DE TENUE DE COMPTE"
"7210000A3","COMM / CHEQUES ET EFFETS"
"7219000A4","CIONS SUR OPPOSITION CHEQUE"
"7220000A3","COMM / VISA ET CERTIFICAT DE CHEQUE"
"7230000A3","COMM ET PROFITS / OPS DE CHANGE"
"7231000A4","COMM. / OPS CHANGE AU COMPTANT"
"7232000A4","COMM. / OPS CHANGE A TERME"
"7233000A4","PROFITS DE CHANGE"
"7240000A3","COMM/ ENGAGEMT PAR SIGNATURE"
"7241000A4","COMM./ ENGT DONNES FAV ETS FINANC."
"7242000A4","COMM./ ENGT DONNES FAV CLIENTELE"
"7250000A3","COMM GEST PORTF TITRE CPTE DE TIERS"
"7260000A3","PROFIT SUR TITRES DE TRANSACTION"
"7270000A3","REFACTUR. CHARGES EXPLOITAT. BANC."
"7280000A3","PRESTATION DE SERVICES DIVERS"
"7281000A4","LOCATION DE COFFRES FORTS"
"7282000A4","CONSEIL ET ASSISTANCE DE GESTION"
"7283000A4","PRODUITS SUR MOYEN DE PAIEMENT"
"7284000A4","AUTRES PRESTATIONS DIVERSES"
"7290000A3","AUTRES COMMISSIONS"
"7293000A4","AUTRES COMMISSION"
"7310000A3","REVENUS DU PORTEF DE PARTICIPATION"
"7311000A4","REVENUS DES ACTIONS PROPRES DETENUE"
"7312000A4","REV ACTIONS ET PARTS D ETS DE CRED"
"7313000A4","REVENUS ACTIONS ET PARTS D AUT STE"
"7314000A4","REV. TITRES PUBLICS IMMOBILISES"
"7316000A4","REVENUS DES TITRES EN SOUFFRANCES"
"7320000A3","REV PRETS  TITRES SUBORD OBLIGATOI"
"7321000A4","REVENUS DES BONS D EQPT ET ASSIMILE"
"7322000A4","REV. DE CREANCES TITRISEES SUR ETAT"
"7323000A4","REV AUT PRETS TITRE A SOUSCR OBLIGA"
"7330000A3","REVENUS DU PORTFEUILLE DE PLCT"
"7331000A4","REV D ACTION PARTS D ETSS DE CREDIT"
"7332000A4","REVENUS DE BONS DU TRESOR"
"7333000A4","REV D AUTRES ACTIONS ET PARTS NEGOC"
"7334000A4","REVENUS D OBLIGATIONS ET BONS ASSIM"
"7335000A4","REV OBLIGA PROPRES RACH PAR ANTICIP"
"7336000A4","REV. D AUTRES TITRES A COURT TERME"
"7337000A4","REVENUS DE TITRES DOUTEUX"
"7340000A3","REV. DU PORTEFEUILLE DE TRANSACTION"
"7341000A4","REV. D ACTION ET PARTS D ETABLISS."
"7342000A4","REVENUS DE BONS DU TRESOR"
"7343000A4","REV AUTRES ACTIONS ET PARTS  NEGOC"
"7344000A4","REV D OBLIGATIONS ET BONS ASSIMILES"
"7345000A4","REV OBLIGA PROPRES RACH PAR ANTICIP"
"7346000A4","REV D AUTRES TITRES A COURT TERME"
"7400000A2","PRODUITS ACCESSOIRES"
"7410000A3","JETONS DE PRESENCE"
"7420000A3","REV DES BIENS MEUBLES ET IMMEUBLES"
"7430000A3","ETUDES CEDEES"
"7440000A3","FRAIS IMMOBILISES"
"7450000A3","PRODUCTION IMMOBILISEES"
"7460000A3","REFACTURATION DE FRAIS DIVERS"
"7470000A3","TRANSFERT DE CHARGES"
"7490000A3","AUTRES PRODUITS ACCESSOIRES"
"7600000A2","SUBVENTION D EXPLOIT ET D EQUILIBRE"
"7610000A3","SUBVENTION D EXPLOITATION"
"7620000A3","SUBVENTION D EQUILIBRE"
"7700000A2","PDT EXCEP EXO ANT, P V CES ELT ACTI"
"7710000A3","PROD D EXPLOIT. BANC SUR EXO ANT"
"7711000A4","PRODUITS SUR OPS DE TRESORERIE"
"7712000A4","PROD OPS AVC LA CLTELE DE CRED BAIL"
"7713000A4","PRODUITS SUR OPS BANCAIRES DIVERSES"
"7720000A3","PRODUITS DIVERS SUR EXO ANTERIEURS"
"7721000A4","PRODUITS DU PORTEF TITRE"
"7722000A4","PRODUITS ACCESSOIRES"
"7723000A4","SUBVENT. D EXPLOIT. ET D EQUILIBRE"
"7729000A4","AUTRES PRODUIT DIVERS"
"7730000A3","INDEMNITE D ASSURANCE"
"7740000A3","PROV SPEC ET RESERV  REEVAL REPSES"
"7760000A3","PV SUR CESSIONS D ÉLÉMENTS D ACTIF"
"7761000A4","PV CESS TITRE PLCT ET PARTICIP"
"7762000A4","PV SUR CESSION D AUT  ELTS D ACTIF"
"7770000A3","TSFER DE CHGS EXCEP OU SUR EXO ANT"
"7780000A3","SALAIRES ET INDEMNITES ABANDONNES"
"7791000A4","PROFITS SUR OPS BANCAIRES"
"7792000A4","PROFITS SUR OPS AVEC LA CLIENTELE"
"7793000A4","PROFITS SUR OPS BANCAIRES DIVERSES"
"7796000A4","EXCEDENTS DE CAISSE"
"7799000A4","AUTRES PROFITS EXCEPTIONNELS"
"7800000A3","REPRISES D AMORTISSEMENTS"
"7820000A3","REP D AMORT DES IMMOBIL CORPORELLES"
"7900000A2","REP DE PROVS ET RECUP CREANS IRREC"
"7910000A3","REPRISES DE PROVISIONS"
"7911000A4","REP SUR PROVS POUR RISQUES ET CHGS"
"7912000A4","REP SUR PROV POUR DEPREC VALS IMMOB"
"7913000A4","REP SUR PROV PR DEPREC CPTES CLTELE"
"3117200A5","CRÉDITS RESTRUCTURÉS"
"3117300A5","AUTRES CRÉDITS CONSOLIDÉS"
"3120000A3","CRÉDITS À MOYEN TERME SENSIBLE"
"3121000A4","CREDITS A L'INVESTISSEMENT IMMOBILIER MT"
"3122000A4","CREDITS A L'HABITAT MT"
"3123000A4","CREDITS A L'EQUIPEMENT MT"
"3124000A4","CREDITS DE CAMPAGNE  MT"
"3125000A4","CREDITS A LA CONSOMMATION MT"
"3126000A4","CREDITS MORATORIES OU CONSOLIDES SUR L'ETAT MT"
"3127000A4","CRÉDITS NON VENTILABLES"
"3127100A5","CRÉDITS RÉÉCHELONNÉS"
"3127200A5","CRÉDITS RESTRUCTURÉS"
"3127300A5","AUTRES CRÉDITS CONSOLIDÉS"
"3180000A3","CREANCES RATTACHEES"
"3200000A2","CREDIT A COURT TERME"
"3210000A3","EFFETS COMMERCIAUX"
"3211000A4","EFFETS COMMERCIAUX"
"3211100A5","ESCOMPTE COMMERCIAL"
"3211200A5","AFFACTURAGE"
"3211300A5","ESCOMPTE DOCUMENTAIRE"
"3212000A4","CREDITS DE TRESORERIE"
"3213000A4","CREDITS A L'EQUIPEMENT"
"3214000A4","CRÉDITS D’ACCOMPAGNEMENT SUR MARCHÉS PUBLICS "
"3214100A5","AVANCES SUR MARCHES PUBLICS NANTIS"
"3214200A5","AUTRES CREDITS D'ACCOMPAGNEMENT"
"3215000A4","CRÉDITS DE CAMPAGNE"
"3215100A5","CREDITS DE PRODUCTIVITE ET DE PREFINANCEMENT"
"3215200A5","CREDIT CAMPAGNE AVANCES EN BLANCS"
"3215300A5","CREDIT CAMPAGNE AVANCES SUR STOCKS"
"3215500A5","CREDITS DE CAMPAGNES CONSOLIDES"
"3216000A4","CREDITS A LA CONSOMMATION CT"
"3217000A4","CRÉDITS NON VENTILABLES"
"3217100A5","CRÉDITS RÉÉCHELONNÉS"
"3217200A5","CRÉDITS RESTRUCTURÉS"
"3217300A5","AUTRES CRÉDITS CONSOLIDÉ"
"3221000A4","EFFETS COMMERCIAU"
"3221100A5","ESCOMPTE COMMERCIA"
"3221200A5","AFFACTURAGE"
"3221300A5","ESCOMPTE DOCUMENTAIRE"
"3223000A4","CREDITS A L'EQUIPEMENT"
"3224000A4","CRÉDITS D’ACCOMPAGNEMENT SUR MARCHÉS PUBLICS"
"3224100A5","AVANCES SUR MARCHES PUBLICS NANTIS"
"3224200A5","AUTRES CREDITS D'ACCOMPAGNEMENT"
"3225000A4","CRÉDITS DE CAMPAGN"
"3225100A5","CREDITS DE PRODUCTIVITE ET DE PREFINANCEMENT"
"3225200A5","CREDIT CAMPAGNE AVANCES EN BLANCS"
"3225300A5","CREDIT CAMPAGNE AVANCES SUR STOCKS"
"3225400A5","CREDIT CAMPAGNE CREDITS A L'EXPORTATION"
"3225500A5","CREDITS DE CAMPAGNES CONSOLIDES"
"3226000A4","CREDITS A LA CONSOMMATION CT"
"3227000A4","CRÉDITS NON VENTILABLES"
"3227100A5","CREDITS NON VENTILABLES REECHELONNES"
"3227200A5","CREDITS NON VENTILABLES RESTRUCTURES CT"
"3227300A5","AUTRES CREDITS NON VENTILABLES CONSOLIDES CT"
"3280000A3","CREANCES RATTACHEES CREDIT COUT TERME"
"3290000A3","CREDIT MORATORIES OU CONSOLIDES SUR L'ETAT"
"3400000A2","CREANCES EN SOUFFRANCE"
"3410000A3","CRÉANCES IMPAYÉES"
"3420000A3","CRÉANCES IMMOBILISÉES"
"3421000A4","CRÉANCES DIRECTES SUR L’ETAT"
"3422000A4","CRÉANCES GARANTIES PAR L’ETA"
"3423000A4","AVANCES SUR MARCHÉS PUBLICS NANTI"
"3424000A4","AVANCES SUR TITRES ÉMIS PAR L’ETAT"
"3425000A4","AUTRES CRÉANCES IMMOBILISÉES"
"3440000A3","CREANCES DOUT N COUV SURETES REELLES OU GAR ETAT"
"3441000A4","CREANCE DOUTEUSES DEPUIS MOINS DE UN AN"
"3442000A4","CREANCES DOUTEUSES DEPUIS 1 A 2 ANS"
"3443000A4","CREANCES DOUTEUSES DEPUIS 2 A 3 ANS"
"3444000A4","CREANCE DOUTEUSE DEPUIS PLUS DE 3 ANS"
"3450000A3","AUTRES CRÉANCES DOUTEUSES"
"3451000A4","CREANCES DOUTEUSES DEPUIS MOINS DE 1 AN"
"3452000A4","CREANCES DOUTEUSES DEPUIS 1 A 2 ANS"
"3453000A4","CREANCES DOUTEUSES DEPUIS PLUS DE 2 ANS"
"3458000A4","CREANCES IRRECOUVRABLES SUR LES GROUPES OU PARTIES LIES "
"3459000A4","AUTRES CREANCES IRRECOUVRABLES "
"3460000A3","CRÉANCE IMPAYÉES SUR LE CRÉDIT-BAIL"
"3470000A3","CREANCES DOUTEUSES SUR LE CREDIT-BAIL"
"3500000A2","COMPTES DE DEPOTS A REGIME SPECIAL"
"3510000A3","BONS DE CAISSE"
"3600000A2","COMPTE DE DEPOTS A TERME"
"3610000A3","DÉPOTS À TERME"
"3690000A3","DETTES RATTACHES"
"3700000A2","DECOUVERTS ET CPTES CREDITEUR A VUE"
"3710000A3","COMPTES COURANT"
"3712000A4","COMPTES COURANTS SENSIBLES"
"3713000A4","AUTRES COMPTES COURANTS"
"3720000A3","COMPTES DE CHEQUES"
"3721000A4","COMPTES DE CHEQUES SAINS"
"3722000A4","COMPTES DE CHEQUES SENSIBLES"
"3730000A3","COMPTES SUR LIVRETS (ÉPARGNE)"
"3740000A3","DÉPOTS DE GARANTIE"
"3750000A3","AVANCES SUR DÉPOTS À TERME"
"3780000A3","CREANCES RATTACHEES"
"3790000A3","DETTES RATTACHEES"
"3800000A2","AUTRES COMPTES DE LA CLIENTELE"
"3810000A3","DISPOSITION À PAYER"
"3820000A3","COMPTES BLOQUÉS"
"3830000A3","AVOIRS EN COURS DE PRESCRIPTION"
"3840000A3","AUTRES SOMMES DUES À LA CLTLE"
"3860000A3","AUTRES SOMMES DUES PAR LA CLTLE"
"3870000A3","VALEURS NON IMPUTÉES"
"3900000A2","PROV POUR DEPR DES CPTE DE LA CLIEN"
"3910000A3","PROVISIONS SUR CREANCES IMPAYÉES"
"3920000A3","PROVISIONS SUR CREANCES IMMOB"
"3940000A3","PRO CRÉAN DOUT N COUV SUR R GTIE ET"
"3941000A4","PROVISIONS SUR CREANCES DOUTEUSES DEPUIS AU PLUS UN AN COUVERTES PAR DES GARANTIES ELIGIBLES"
"3942000A4","PROVISIONS SUR CREANCES DOUTEUSES DEPUIS PLUS D'UN AN ET AU PLUS 2 ANS COUVERTES PAR DES GARA ELIGIBLES"
"3943000A4","PROVISIONS SUR CREANCES DOUTEUSES DEPUIS PLUS DE 2 ANS COUVERTES PAR DES GARANTIES ELIGIBLES "
"3950000A3","PROV SUR CRÉAN IMP SUR LE CRD-BAIL"
"3951000A4","PROV CREAN DOUT PLUS DE UN AN"
"3952000A4","PROV CREAN DOUT UN A DEUX ANS"
"3953000A4","PROV CREAN DOUT PLUS DE DEUX ANS"
"3960000A3","PROV SUR CRÉAN DOUT SUR LE CRD-BAIL"
"3970000A3","PROV CREAN DOUT CR BAIL"
"4000000A2","COMPTE DE TIERS ET DE REGUL"
"4010000A3","RETENUES DE GARANTIE"
"4020000A3","AVANCES ET ACMPTE VERSES COMM FOURN"
"4030000A3","SOMMES DUES AUX FOURNISSEURS"
"4100000A2","CHEQUES ET EFFETS A L ENCAISSEMENT"
"4110000A3","CHEQUES A RECOUVRER RECUS DE CLIENT"
"4120000A3","CHEQUES A RECOUVRER CORRESPONDENT"
"4130000A3","EFFETS A RECOUVRER CLIENTELE"
"4140000A3","EFFETS RECUES DES CORRESPONDENTS"
"4150000A3","COMPTES D ENCAISSEMENT DE CLIENTELE"
"4170000A3","VALEURS NON PAYEE A PRESENTATION"
"4200000A2","PERSONNEL"
"4210000A3","AVANCES MENSUELLES SUR TRAITEMENT"
"4220000A3","REMUNERATIONS DUES"
"4230000A3","OPPOSITIONS SUR TRAITEMENT ET SALAI"
"4310000A3","AVANCES SUR SUBVENTIONS"
"4320000A3","SUBVENTION A RECEVOIR"
"4330000A3","IMPOTS ET TAXES DEDUCTIBLES"
"4340000A3","IMPOTS ET TAXES COLLECTES"
"4350000A3","AUTRES SOMMES DUES A L ETAT"
"4400000A2","ACTIONNAIRES"
"4410000A3","COMPTES-COURANTS ACTIONNAIRES"
"4420000A3","ACTIONNAIRES, VERSEMENTS ANTICIPES"
"4430000A3","DIVIDENDES"
"4440000A3","TANTIEMES ET JETONS DE PRESENCE D A"
"4450000A3","ACTIONNAIRES CAPITAL A REMBOURSER"
"4500000A2","COMPTES DES LIAISON"
"4510000A3","SIEGES ET AGENCES LOCALES"
"4516000A4","OPERATIONS DIVERSES"
"4520000A3","COMPTES DE LIAISONS INTERAGENCES"
"4540000A3","DIFFÉRÉS ORDINATEUR"
"4590000A3","OPÉRATIONS DÉNOUÉES"
"4596000A4","OPÉRATIONS DIVERSES"
"4600000A2","AUTRES DEBITEURS ET CREDITEURS"
"4610000A3","SOCIETES D ASSURANCE ET DE CAPITAL"
"4620000A3","ORGANISMES SECURITE SOCIAL"
"4630000A3","ERREURS,VOLS ET DETOURNEMENT"
"4640000A3","OBLIGATAIRES"
"4650000A3","VERSEMENTS A EFFECT/ TITRES EN PORT"
"4660000A3","AUTRES DEBITEURS"
"4670000A3","AUTRES CREDITEURS"
"4700000A2","COMPTES DE REGULARISATION"
"4710000A3","CTES DE REGUL DE LA GESTION-ACTIF"
"4711000A4","CHARGES PAYEES OU COMPTABL D AVANCE"
"4720000A3","CPTES DE RÉGUL DE LA GESTION-PASSIF"
"4721000A4","CHARGES A PAYER"
"4722000A4","PRODUITS PERCU OU COMPTABLE D AVANC"
"4750000A3","POSITION DE CHANGE"
"4760000A3","CONTRE VALEUR POSITION DE CHANGE"
"4770000A3","COMPTE D AJUST DEVISES"
"4800000A2","CREANCES DIVERSES EN SOUFFRANCE"
"4800000A3","CREANCES DIVERSES EN SOUFFRANCE"
"4810000A3","VALEURS A L ENCAISSEMENT EN SOUFFRA"
"4820000A3","AVANCES AU PERSONNEL EN SOUFFRANCE"
"4850000A3","OPS ENTRE SUCCUR AGENCES EN SOUFF"
"4860000A3","CREAN DEBITEURS DIVERS EN SOUFFRANC"
"4900000A3","PRO DEPREC DES CPTES D AUTRES TIERS"
"4910000A3","PROV VALS A L ENCAISSET EN SOUFFRA"
"4920000A3","PROV AVC AU PERSONNEL EN SOUFFRANCE"
"4950000A3","PRO DEPREC DES CPTE DE SUCCUR ET AG"
"4960000A3","PRO DEPREC DES CPTE DR DIVERS"
"5110000A3","PORTEFEUILLE DE PLACEMENT"
"5111000A4","ACTIONS ET PARTS D ETS DE CREDIT"
"5112000A4","BONS DU TRÉSOR"
"5113000A4","AUTRES ACTIONS ET PARTS NEGOCIABLES"
"5114000A4","OBLIGATIONS ET BONS ASSIMILÉS"
"5114100A5","OBLIGATIONS DU TRESOR ASSIMILABLES PLACEMENT"
"5115000A4","OBLIG PROPRES RACHETÉES PAR ANTICIP"
"5116000A4","AUTRES TITRES À COURT TERME"
"5117000A4","TITRES DOUTEUX"
"5118000A4","CREANCES RATTACHEES"
"5120000A3","PORTEFEUILLE DE TRANSACTION"
"5121000A4","ACTIONS ET PARTS D ETS DE CREDIT"
"5122000A4","BONS DU TRÉSOR"
"5123000A4","AUTRES ACTIONS ET PARTS NEGOCIABLES"
"5124000A4","OBLIGATIONS ET BONS ASSIMILÉS"
"5124100A5","OBLIGATIONS DU TRESOR ASSIMILABLES TRANSACTIONS"
"5124200A5","AUTRES OBLIGATIONS ET BONS ASSIMILES TRANSACTIONS"
"5125000A4","OBLIGAT PROPRES RACHETÉES ANTICIP"
"5126000A4","AUTRES TITRES À COURT TERME"
"5128000A4","CREANCES RATTACHEES"
"5200000A2","MARCHE MONETAIRE"
"5210000A3","OPÉRATIONS INTERBANCAIRES"
"5211000A4","PRETS AU JOUR LE JOUR"
"5212000A4","PRETS À TERME"
"5213000A4","VAL  RECU PENSION SUR LE CHE MON"
"5214000A4","EMPRUNTS AU JOUR LE JOUR"
"5215000A4","EMPRUNTS À TERME"
"5216000A4","VALEURS DONNÉES EN PENSION"
"5220000A3","REFINANCEMENT AU GUICHET A"
"5221000A4","EMPRUNT SUR APPEL D OFFRES"
"5222000A4","EMPRUNT SUR MISE EN PENSION"
"5223000A4","EMPRUNTS INTERVENTION PONCTUELLES"
"5224000A4","EMPRUNT EXCEPTIONELS SUR PLACEMENTS"
"5225000A4","AUTRES EMPRUNTS AU GUICHET A"
"5230000A3","REFINANCEMENT AU GUICHET B"
"5231000A4","REFIN DES CRDITS MOYEN TERM IRRÉVOC"
"5232000A4","AUTRES EMPRUNTS AU GUICHET B"
"5240000A3","AVANCES AU TAUX DE PENALITÉ"
"5241000A4","DÉPASS DE LA FACULTÉ D AV GUICHET A"
"5242000A4","SANCTIONS DISCIPLINAIRES"
"5243000A4","AUTRES AVANCES AU TAUX DE PÉNALITÉ"
"5250000A3","PLACEMENT À LA BEAC"
"5251000A4","PLACEMENTS A 7 JOURS"
